"jurisdiction","iso_alpha_2","iso_numeric","tax_codes","status_type","status_label","instrument_category","instrument_title","complementary_act","principal_official_url","secondary_official_urls","signed_not_in_force","signed_not_in_force_url"
"Roumanie","RO","642","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 27 septembre 1974 (Journal officiel du 21 octobre 1975)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/roumanie/version-consolidee-de-la-convention-avec-la-roumanie-modifiee-par-la-convention-multilaterale---impots-sur-le-revenu-et-la-fortune.pdf","","",""
"Royaume-Uni","GB","826","IR|S","inforce","en vigueur","Impôt sur le revenu","Convention du 19 juin 2008 (Journal officiel du 9 janvier 2010)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/royaume-uni/convention_avec_le_ru_modifiee_par_la_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/royaume-uni/royaume-uni_convention-avec-le-royaume-uni-successions_fd_1790.pdf","",""
"Royaume-Uni","GB","826","IR|S","inforce","en vigueur","Successions","Convention du 21 juin 1963 (Journal officiel du 1er août 1964 et rectificatif du 10 septembre 1964)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/royaume-uni/convention_avec_le_ru_modifiee_par_la_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/royaume-uni/royaume-uni_convention-avec-le-royaume-uni-successions_fd_1790.pdf","",""
"Russie","RU","643","IR|IF","partial","partiellement suspendue","Impôt sur le revenu","Convention du 26 novembre 1996 (Journal officiel du 29 mai 1999)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/russie/convention_russie_cml.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/ex_urss/fichedescriptive_62371.pdf|https://www.impots.gouv.fr/10conventionsrussierussieconvention-avec-la-federation-de-russiefd1433pdf","",""
"Saint-Barthélemy","BL","652","","limited","accord limité","Assistance administrative","Accord particulier du 14 septembre 2010 (Journal officiel du 20 avril 2011)","true","https://bofip-archives.impots.gouv.fr/bofip/25779-AIDA.html/identifiant%3D-20120314","","",""
"Saint-Martin","MF","663","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 21 décembre 2010 (Journal officiel du 20 avril 2011)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/saint-martin/saint-martin_convention-avec-saint-martin-signee-le-21.12.2010-en-vigueur-au-01.05.2011_fd_6011.pdf","","",""
"Saint-Martin","MF","663","IR","inforce","en vigueur","Impôt sur le revenu","Accord particulier du 23 décembre 2009 (Journal officiel du 20 avril 2011)","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/saint-martin/saint-martin_convention-avec-saint-martin-signee-le-21.12.2010-en-vigueur-au-01.05.2011_fd_6011.pdf","","",""
"Saint-Pierre-et-Miquelon","PM","666","IR|S|D|DE","inforce","en vigueur","Impôt sur le revenu","Convention du 30 mai 1988 (Journal officiel du 14 janvier 1989)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/saint-pierre-et-miquelon/saint-pierre-et-miquelon_convention-avec-saint-pierre-et-miquelon_fd_2184.pdf","","",""
"Sénégal","SN","686","IR|S|DE","inforce","en vigueur","Impôt sur le revenu","Convention et échange de lettres du 29 mars 1974 (Journal officiel du 30 novembre 1976)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/senegal/senegal_modifiee_cml.pdf","https://www.impots.gouv.fr/10conventionssenegalsenegalconvention-avec-le-senegalfd2186pdf","",""
"Sénégal","SN","686","IR|S|DE","inforce","en vigueur","Impôt sur le revenu","Échange de lettres du 29 mars 1974 (Journal officiel du 11 mai 1978)","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/senegal/senegal_modifiee_cml.pdf","https://www.impots.gouv.fr/10conventionssenegalsenegalconvention-avec-le-senegalfd2186pdf","",""
"Sénégal","SN","686","IR|S|DE","inforce","en vigueur","Impôt sur le revenu","Avenant du 16 juillet 1984 (Journal officiel du 25 février 1986)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/senegal/senegal_modifiee_cml.pdf","https://www.impots.gouv.fr/10conventionssenegalsenegalconvention-avec-le-senegalfd2186pdf","",""
"Sénégal","SN","686","IR|S|DE","inforce","en vigueur","Impôt sur le revenu","Avenant du 10 janvier 1991 (Journal officiel du 27 février 1993)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/senegal/senegal_modifiee_cml.pdf","https://www.impots.gouv.fr/10conventionssenegalsenegalconvention-avec-le-senegalfd2186pdf","",""
"Serbie","RS","688","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 28 mars 1974 (ex-Yougoslavie) (Journal officiel du 13 septembre 1975)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/serbie/serbie_modifiee_cml_20190805.pdf","","",""
"Serbie","RS","688","IR","inforce","en vigueur","Impôt sur le revenu","Avenant du 26 mars 2003 (Journal officiel du 23 mai 2003)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/serbie/serbie_modifiee_cml_20190805.pdf","","",""
"Singapour","SG","702","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 15 janvier 2015 (Journal officiel du 2 juillet 2016)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/singapour/singapour_convention_cml.pdf","https://www.impots.gouv.fr/10conventionssingapoursingapourconvention-avec-singapour-version-consolideefd1973pdf","",""
"Slovaquie","SK","703","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 1er juin 1973 — ex-Tchécoslovaquie (Journal officiel du 2 octobre 1975)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/slovaquie/convention_avec_la_slovaquie_modifiee_par_la_cml.pdf","","",""
"Slovénie","SI","705","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 7 avril 2004 (Journal officiel du 22 mars 2007)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/slovenie/convention_avec_la_slovenie_modifiee_par_la_cml.pdf","","",""
"Sri Lanka","LK","144","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 17 septembre 1981 (Journal officiel du 30 janvier 1983)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/sri_lanka/sri-lanka_convention-avec-le-sri-lanka_fd_1972.pdf","","",""
"Suède","SE","752","IR|IF|S|D","inforce","en vigueur","Impôt sur le revenu","Convention des 27 novembre 1990 et EDL 14 et 18 mars 1991 (Journal officiel du 8 avril 1992 et rectificatif du 22 août 1992)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suede/suede_convention-avec-la-suede-impot-sur-le-revenu-impot-sur-la-fortune_fd_2112.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suede/suede_convention-avec-la-suede-donations-successions_fd_2113.pdf","Avenant signé le 22 mai 2023","https://www.impots.gouv.fr/avenant-la-convention-avec-la-suede-signe-le-22052023-non-entre-en-vigueur"
"Suède","SE","752","IR|IF|S|D","inforce","en vigueur","Successions et donations","Convention du 8 juin 1994 (Journal officiel du 16 mars 1996)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suede/suede_convention-avec-la-suede-impot-sur-le-revenu-impot-sur-la-fortune_fd_2112.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suede/suede_convention-avec-la-suede-donations-successions_fd_2113.pdf","Avenant signé le 22 mai 2023","https://www.impots.gouv.fr/avenant-la-convention-avec-la-suede-signe-le-22052023-non-entre-en-vigueur"
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Convention du 9 septembre 1966 (Journal officiel du 10 octobre 1967)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Avenant du 3 décembre 1969 (Journal officiel des 2 et 3 novembre 1970)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Avenant du 22 juillet 1997 (Journal officiel du 27 août 1998)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Échange de lettres des 14 février et 2 juin 2006","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Échange de lettres des 5 et 13 décembre 2006","true","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Avenant du 27 août 2009 (Journal officiel du 12 décembre 2010)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
"Suisse","CH","756","IR|IF|SP|DP","inforce","en vigueur","Impôt sur le revenu","Avenant du 25 juin 2014 (Journal officiel du 3 mai 2016)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_convention-avec-la-suisse-impots-sur-le-revenu-et-sur-la-fortune_fd_2125.pdf","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/suisse/suisse_accord-avec-la-suisse-liberalites_fd_2119.pdf","",""
